"year","location","plot","replicate","trt","crops","legume_inclusion","n_fertilizer","grain_yield","iwg_straw_yield","legume_biomass","plant_height","lodging_score","NO3_mean_mgL","n_raw_readings","n_bdl_readings","pct_bdl_readings","any_bdl","majority_bdl","vwc_50cm","vwc_100cm","NO3_N_ppm_0_6","NO3_N_ppm_6_18","NO3_N_ppm_18_30","NH4_N_ppm_0_6","NH4_N_ppm_6_18","NH4_N_ppm_18_30","LOI_OM_pct_0_6","LOI_OM_pct_6_18","LOI_OM_pct_18_30","TOC_pct_0_6","TOC_pct_6_18","TOC_pct_18_30"
2014,"Lamberton",2106,1,25,"TLI/leg",1,40,424,10034,38,146,2,0.3012,5,2,40,1,0,0.1768,0.1547,0.5,1,1,4,3,NA,3.2,NA,NA,NA,NA,NA
2014,"Lamberton",2111,1,23,"TLI",0,120,264,10102,NA,122,3,2.8876,5,0,0,0,0,0.1899,0.1456,0.5,1,1,7,4,NA,3.1,NA,NA,NA,NA,NA
2014,"Lamberton",2116,1,22,"TLI",0,60,272,11182,NA,130,2,3.3772,5,0,0,0,0,0.1791,0.1551,0.5,1,1,3,1,NA,3,NA,NA,NA,NA,NA
2014,"Lamberton",2121,1,21,"TLI",0,0,88,5390,NA,134,2,0.4562,5,2,40,1,0,NA,NA,1.5,1,1,4,4,NA,3.3,NA,NA,NA,NA,NA
2014,"Lamberton",2203,2,22,"TLI",0,60,574,13596,NA,153,2,4.0394,5,1,20,1,0,0.2235,0.1925,1,1,1,4,1,NA,3.4,NA,NA,NA,NA,NA
2014,"Lamberton",2213,2,23,"TLI",0,120,542,15120,NA,130,2,0.4762,5,1,20,1,0,0.2065,0.2032,1.5,1,1,4,2,NA,3.5,NA,NA,NA,NA,NA
2014,"Lamberton",2218,2,25,"TLI/leg",1,40,412,9538,65,144,2,0.114,5,3,60,1,1,0.1987,0.1836,0.5,1,1,4,3,NA,3.8,NA,NA,NA,NA,NA
2014,"Lamberton",2223,2,21,"TLI",0,0,268,8586,NA,136,2,0.7678,5,1,20,1,0,NA,NA,0.5,1,1,4,2,NA,3.8,NA,NA,NA,NA,NA
2014,"Lamberton",2304,3,23,"TLI",0,120,134,12192,NA,154,4,3.53,5,1,20,1,0,0.2366,0.2495,1,1,1,6,1,NA,3.9,NA,NA,NA,NA,NA
2014,"Lamberton",2309,3,25,"TLI/leg",1,40,386,9520,75,133,3,0.578,5,1,20,1,0,0.2329,0.229,3,1,1,4,1,NA,3.7,NA,NA,NA,NA,NA
2014,"Lamberton",2319,3,22,"TLI",0,60,200,10740,NA,140,3,3.6262,5,2,40,1,0,0.2326,0.1878,0.5,1,1,2,1,NA,3.8,NA,NA,NA,NA,NA
2014,"Lamberton",2324,3,21,"TLI",0,0,46,6368,NA,124,2,0.5822,5,0,0,0,0,NA,NA,0.5,1,1,3,2,NA,4,NA,NA,NA,NA,NA
2014,"Lamberton",2407,4,21,"TLI",0,0,100,8996,NA,125,2,0.5958,5,1,20,1,0,NA,NA,1,1,1,2,2,NA,3.6,NA,NA,NA,NA,NA
2014,"Lamberton",2412,4,25,"TLI/leg",1,40,302,7590,117,132,3,0.2164,5,2,40,1,0,0.2307,0.1941,1.5,1,1,3,1,NA,3.7,NA,NA,NA,NA,NA
2014,"Lamberton",2417,4,22,"TLI",0,60,124,10274,NA,137,3,0.1054,5,2,40,1,0,0.2632,0.1664,1.5,2,1,4,3,NA,3.8,NA,NA,NA,NA,NA
2014,"Lamberton",2422,4,23,"TLI",0,120,NA,9980,NA,133,4,3.6808,5,2,40,1,0,0.2606,0.2202,1.5,1,1,2,1,NA,4.1,NA,NA,NA,NA,NA
2014,"Waseca",1105,1,22,"TLI",0,60,328,11586,NA,140,5,0.23175,4,1,25,1,0,0.3029,0.16,2,1,1,4,3,NA,4.2,NA,NA,NA,NA,NA
2014,"Waseca",1110,1,25,"TLI/leg",1,40,118,10110,0,135,3,0.1348,5,2,40,1,0,0.2612,0.1767,2,1,1,4,3,NA,4.5,NA,NA,NA,NA,NA
2014,"Waseca",1115,1,23,"TLI",0,120,96,7444,NA,120,5,0.1996,5,0,0,0,0,0.1941,0.2632,4,2,1,3,4,NA,4.1,NA,NA,NA,NA,NA
2014,"Waseca",1125,1,21,"TLI",0,0,24,5098,NA,123,2,0.0878,5,3,60,1,1,NA,NA,1,1,1,3,2,NA,4.4,NA,NA,NA,NA,NA
2014,"Waseca",1202,2,25,"TLI/leg",1,40,124,8688,8.1,145,3,0.28,5,3,60,1,1,0.2649,0.239,2,1,1,6,4,NA,4.4,NA,NA,NA,NA,NA
2014,"Waseca",1207,2,22,"TLI",0,60,50,6102,NA,123,2,0.2134,5,2,40,1,0,0.2622,0.2007,1.5,1,1,6,6,NA,5.1,NA,NA,NA,NA,NA
2014,"Waseca",1217,2,21,"TLI",0,0,40,7062,NA,118,2,0.0858,5,3,60,1,1,NA,NA,2,2,1,6,6,NA,4.9,NA,NA,NA,NA,NA
2014,"Waseca",1222,2,23,"TLI",0,120,154,8844,NA,136,3,0.2152,5,1,20,1,0,0.2205,0.2258,2,1,1,7,4,NA,5.2,NA,NA,NA,NA,NA
2014,"Waseca",1303,3,23,"TLI",0,120,142,11696,NA,130,5,0.1888,5,3,60,1,1,0.2676,0.2873,3,2,1,6,1,NA,5,NA,NA,NA,NA,NA
2014,"Waseca",1308,3,22,"TLI",0,60,26,7786,NA,140,3,0.1528,5,2,40,1,0,0.2331,0.276,1,1,1,6,4,NA,5.5,NA,NA,NA,NA,NA
2014,"Waseca",1313,3,21,"TLI",0,0,14,5224,NA,127,2,0.05,5,5,100,1,1,NA,NA,1,1,1,4,2,NA,5,NA,NA,NA,NA,NA
2014,"Waseca",1323,3,25,"TLI/leg",1,40,86,9178,0,141,4,0.1278,5,4,80,1,1,0.3176,0.2146,3.5,1,1,4,2,NA,4.5,NA,NA,NA,NA,NA
2014,"Waseca",1401,4,25,"TLI/leg",1,40,270,9382,22,135,2,0.1702,5,3,60,1,1,0.2267,0.2694,1,1,1,4,2,NA,5.9,NA,NA,NA,NA,NA
2014,"Waseca",1411,4,22,"TLI",0,60,38,7936,NA,125,5,0.1328,5,2,40,1,0,0.2363,0.2902,3.5,2,1,4,2,NA,5,NA,NA,NA,NA,NA
2014,"Waseca",1416,4,21,"TLI",0,0,NA,4224,NA,123,2,0.099,5,3,60,1,1,NA,NA,2,1,1,5,2,NA,4.7,NA,NA,NA,NA,NA
2014,"Waseca",1421,4,23,"TLI",0,120,116,9018,NA,140,5,0.141,5,3,60,1,1,0.2622,0.287,1.5,1,1,5,3,NA,4.3,NA,NA,NA,NA,NA
