year,location,plot,replicate,trt,crops,legume_inclusion,n_fertilizer,grain_yield,iwg_straw_yield,legume_biomass,plant_height,lodging_score,NO3_mean,NO3_full_mean,NO3_half_mean,NO3_zero_mean,vwc_50cm,vwc_100cm,LOI_OM_pct_0_6,LOI_OM_pct_18_30,LOI_OM_pct_6_18,NH4_N_ppm_0_6,NH4_N_ppm_18_30,NH4_N_ppm_6_18,NO3_N_ppm_0_6,NO3_N_ppm_18_30,NO3_N_ppm_6_18,TOC_pct_0_6,TOC_pct_18_30,TOC_pct_6_18
2014,Waseca,1105,1,22,TLI,0,60,328,11586,,140,5,0.301,0.301,0.301,0.301,0.302851509,0.159988868,4.2,,,4,,3,2,1,1,,,
2015,Waseca,1105,1,22,TLI,0,60,122.792,8172,,136,5,0.0506,0.0956,0.0506,0.0056,0.366124231,0.165110385,5.4,2.3,3.5,4.59,3.23,4.95,9,2.44,3.71,2.597,1.041,1.841
2014,Waseca,1110,1,25,TLI/leg,1,40,118,10110,0,135,3,0.1148,0.1148,0.1148,0.1148,0.261247547,0.176732453,4.5,,,4,,3,2,1,1,,,
2015,Waseca,1110,1,25,TLI/leg,1,40,285.258,7536,66,147,3,0.0671,0.1021,0.0671,0.0321,0.299832917,0.209236731,5.4,2.4,3.3,5.51,3.75,4.36,12.14,2.76,3.9,2.69,1.25,1.797
2014,Waseca,1115,1,23,TLI,0,120,96,7444,,120,5,0.1996,0.1996,0.1996,0.1996,0.194116792,0.263183208,4.1,,,3,,4,4,1,2,,,
2015,Waseca,1115,1,23,TLI,0,120,44.126,5088,,146,6,0.2749,0.2949,0.2749,0.2549,0.221085,0.236089038,5.2,2.3,3.4,4.5,4.11,4.85,17.85,2.77,4.45,2.522,0.75,1.67
2014,Waseca,1125,1,21,TLI,0,0,24,5098,,123,2,0.0578,0.0578,0.0578,0.0578,,,4.4,,,3,,2,1,1,1,,,
2015,Waseca,1125,1,21,TLI,0,0,17.472,,,121,0,0.065666667,0.104555556,0.065666667,0.026777778,,,5.2,2.6,2.9,4.4,4.78,4.13,6.09,2.73,3.05,2.774,1.0615,1.314
2014,Waseca,1202,2,25,TLI/leg,1,40,124,8688,8.1,145,3,0.25,0.25,0.25,0.25,0.264855849,0.238961132,4.4,,,6,,4,2,1,1,,,
2015,Waseca,1202,2,25,TLI/leg,1,40,56.242,10690,0,147,3,0.248,0.268,0.248,0.228,0.277557308,0.212730577,5.2,1.8,3.5,5.32,3.98,3.46,9.72,1.6,3.19,2.439,1.291,1.372
2014,Waseca,1207,2,22,TLI,0,60,50,6102,,123,2,0.1934,0.1934,0.1934,0.1934,0.262243396,0.200673019,5.1,,,6,,6,1.5,1,1,,,
2015,Waseca,1207,2,22,TLI,0,60,134.594,7700,,140,3,0.094888889,0.133777778,0.094888889,0.056,0.249803077,0.158523846,5.7,2.1,3.9,5.15,3.95,4.5,10.93,1.85,4.05,2.7,0.883,1.597
2014,Waseca,1217,2,21,TLI,0,0,40,7062,,118,2,0.0558,0.0558,0.0558,0.0558,,,4.9,,,6,,6,2,1,2,,,
2015,Waseca,1217,2,21,TLI,0,0,38.418,6060,,119,0,0.665222222,0.704111111,0.665222222,0.626333333,,,5.6,1.7,3.4,6,3.12,4.45,6.73,1.84,3.36,2.885,0.737,1.35
2014,Waseca,1222,2,23,TLI,0,120,154,8844,,136,3,0.2052,0.2052,0.2052,0.2052,0.220454528,0.225780566,5.2,,,7,,4,2,1,1,,,
2015,Waseca,1222,2,23,TLI,0,120,179.872,,,140,5,0.546666667,0.571666667,0.546666667,0.521666667,0.212633269,0.177635769,6.2,1.7,3.2,12.19,3.07,4.89,23.44,1.75,3.28,3.038,0.506,1.119
2014,Waseca,1303,3,23,TLI,0,120,142,11696,,130,5,0.1588,0.1588,0.1588,0.1588,0.2675878,0.287347692,5,,,6,,1,3,1,2,,,
2015,Waseca,1303,3,23,TLI,0,120,430.664,9444,,163,7,0.2095,0.2445,0.2095,0.1745,0.304112308,0.284360192,6.1,1.9,4,4.16,3.03,4.13,22.435,2.06,6.08,2.824,0.677,1.515
2014,Waseca,1308,3,22,TLI,0,60,26,7786,,140,3,0.1328,0.1328,0.1328,0.1328,0.233076923,0.2760472,5.5,,,6,,4,1,1,1,,,
2015,Waseca,1308,3,22,TLI,0,60,84.222,,,140,5,0.235,0.265,0.235,0.205,0.270057885,0.265998654,6.3,1.8,3.8,6.84,2.69,3.26,20.56,1.26,2.42,3.041,0.336,1.42
2014,Waseca,1313,3,21,TLI,0,0,14,5224,,127,2,0,0,0,0,,,5,,,4,,2,1,1,1,,,
2015,Waseca,1313,3,21,TLI,0,0,20.316,4244,,111,0,0.343333333,0.376666667,0.343333333,0.31,,,5.7,2.1,4,5.68,2.09,3.71,11.13,1.83,4.76,2.705,0.699,1.712
2014,Waseca,1323,3,25,TLI/leg,1,40,86,9178,0,141,4,0.0878,0.0878,0.0878,0.0878,0.31764,0.214632264,4.5,,,4,,2,3.5,1,1,,,
2015,Waseca,1323,3,25,TLI/leg,1,40,149.222,13062,36,140,3,0.1176,0.1476,0.1176,0.0876,0.360290769,0.217168654,,1.8,3.4,,2.49,3.29,,1.1,3.91,,0.708,1.18
2014,Waseca,1401,4,25,TLI/leg,1,40,270,9382,22,135,2,0.1402,0.1402,0.1402,0.1402,0.226746981,0.269440755,5.9,,,4,,2,1,1,1,,,
2015,Waseca,1401,4,25,TLI/leg,1,40,215.046,11002,52,140,5,0.403,0.423,0.403,0.383,0.259715577,0.313998462,6.6,1.9,3.5,5.64,2.87,3.43,11.81,0.88,3.03,3.196,0.432,1.331
2014,Waseca,1411,4,22,TLI,0,60,38,7936,,125,5,0.1128,0.1128,0.1128,0.1128,0.2363122,0.290192642,5,,,4,,2,3.5,1,2,,,
