Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
5/6/2014,68,38,0,M,M
5/7/2014,69,44,0,M,M
5/8/2014,72,51,0.24,M,M
5/9/2014,62,46,0.29,M,M
5/10/2014,62,37,0,M,M
5/11/2014,73,42,0.22,M,M
5/12/2014,63,48,0.76,M,M
5/13/2014,48,42,0.11,M,M
5/14/2014,56,34,0,M,M
5/15/2014,60,36,0,M,M
5/16/2014,46,31,0,M,M
5/17/2014,56,32,0,M,M
5/18/2014,68,42,0,M,M
5/19/2014,74,48,0,M,M
5/20/2014,67,55,0,M,M
5/21/2014,81,49,0,M,M
5/22/2014,68,41,0,M,M
5/23/2014,76,47,0,M,M
5/24/2014,82,55,0,M,M
5/25/2014,84,55,0,M,M
5/26/2014,82,59,0,M,M
5/27/2014,76,63,0.07,M,M
5/28/2014,85,59,0,M,M
5/29/2014,84,52,0,M,M
5/30/2014,89,57,0,M,M
5/31/2014,90,70,0,M,M
6/1/2014,84,63,1.37,M,M
6/2/2014,79,61,0.78,M,M
6/3/2014,75,53,0.01,M,M
6/4/2014,73,56,0,M,M
6/5/2014,82,58,0,M,M
6/6/2014,71,60,0.54,M,M
6/7/2014,79,55,0.05,M,M
6/8/2014,66,46,0.1,M,M
6/9/2014,71,50,0.09,M,M
6/10/2014,71,52,0,M,M
6/11/2014,80,55,0,M,M
6/12/2014,82,53,0.09,M,M
6/13/2014,69,48,0,M,M
6/14/2014,78,55,0.69,M,M
6/15/2014,67,56,1.9,M,M
6/16/2014,75,57,0.2,M,M
6/17/2014,79,59,0.79,M,M
6/18/2014,76,60,0.19,M,M
6/19/2014,84,66,0.05,M,M
6/20/2014,80,59,0.02,M,M
6/21/2014,88,62,0,M,M
6/22/2014,88,64,0.11,M,M
6/23/2014,79,62,0,M,M
6/24/2014,79,60,0,M,M
6/25/2014,79,61,0,M,M
6/26/2014,80,61,0,M,M
6/27/2014,84,63,0.4,M,M
6/28/2014,80,67,0.01,M,M
6/29/2014,83,62,0,M,M
6/30/2014,84,60,0,M,M
7/1/2014,79,62,0,M,M
7/2/2014,70,54,0,M,M
7/3/2014,74,52,0,M,M
7/4/2014,79,54,0,M,M
7/5/2014,82,65,0.11,M,M
7/6/2014,85,67,0,M,M
7/7/2014,89,61,0,M,M
7/8/2014,86,60,0,M,M
7/9/2014,77,53,0,M,M
7/10/2014,80,55,0,M,M
7/11/2014,84,57,0.29,M,M
7/12/2014,85,68,0,M,M
7/13/2014,78,62,0.03,M,M
7/14/2014,79,54,0,M,M
7/15/2014,66,49,0,M,M
7/16/2014,71,48,0,M,M
7/17/2014,77,51,0,M,M
7/18/2014,80,55,0,M,M
7/19/2014,79,59,0,M,M
