Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
5/7/2014,67,45,0.14,0,0
5/8/2014,71,48,0.11,0,0
5/9/2014,75,47,0.31,0,0
5/10/2014,58,39,T,0,0
5/11/2014,65,45,0.02,0,0
5/12/2014,73,52,1.42,0,0
5/13/2014,61,43,0.12,0,0
5/14/2014,53,33,T,0,0
5/15/2014,59,36,T,0,0
5/16/2014,49,34,0,0,0
5/17/2014,52,34,0,0,0
5/18/2014,66,38,0,0,0
5/19/2014,72,45,T,0,0
5/20/2014,61,50,0.38,0,0
5/21/2014,73,53,0,0,0
5/22/2014,65,45,0,0,0
5/23/2014,71,47,0,0,0
5/24/2014,79,53,0,0,0
5/25/2014,81,55,0,0,0
5/26/2014,79,58,T,0,0
5/27/2014,85,63,0.11,0,0
5/28/2014,75,60,0.22,0,0
5/29/2014,81,57,0,0,0
5/30/2014,86,61,0,0,0
5/31/2014,90,68,0,0,0
6/1/2014,85,62,2.35,0,0
6/2/2014,70,62,1.07,0,0
6/3/2014,77,52,0,0,0
6/4/2014,72,56,0,0,0
6/5/2014,79,58,0,0,0
6/6/2014,76,57,0.01,0,0
6/7/2014,85,61,0.84,0,0
6/8/2014,62,50,0.02,0,0
6/9/2014,71,54,T,0,0
6/10/2014,70,58,T,0,0
6/11/2014,77,59,0,0,0
6/12/2014,82,56,T,0,0
6/13/2014,64,46,0,0,0
6/14/2014,77,51,0,0,0
6/15/2014,66,57,2.02,0,0
6/16/2014,75,58,T,0,0
6/17/2014,81,61,2.56,0,0
6/18/2014,78,62,2.16,0,0
6/19/2014,82,66,0.67,0,0
6/20/2014,76,64,0.53,0,0
6/21/2014,84,64,0,0,0
6/22/2014,84,66,0,0,0
6/23/2014,78,62,T,0,0
6/24/2014,81,61,0,0,0
6/25/2014,82,63,0,0,0
6/26/2014,76,62,0,0,0
6/27/2014,84,65,0.08,0,0
6/28/2014,79,68,T,0,0
6/29/2014,85,61,0.61,0,0
6/30/2014,80,64,0.01,0,0
7/1/2014,74,61,0.04,0,0
7/2/2014,71,54,0.15,0,0
7/3/2014,72,51,0,0,0
7/4/2014,76,54,0,0,0
7/5/2014,79,60,0.12,0,0
7/6/2014,79,66,T,0,0
7/7/2014,89,59,0,0,0
7/8/2014,86,59,0.16,0,0
7/9/2014,76,52,0,0,0
7/10/2014,79,56,0,0,0
7/11/2014,83,62,0.04,0,0
7/12/2014,82,64,0.16,0,0
7/13/2014,77,61,0.06,0,0
7/14/2014,77,51,0,0,0
7/15/2014,65,51,0,0,0
7/16/2014,69,47,0,0,0
7/17/2014,76,52,0,0,0
7/18/2014,78,54,0,0,0
7/19/2014,78,60,0,0,0
7/20/2014,80,66,0,0,0
7/21/2014,85,71,0,0,0
7/22/2014,90,72,0,0,0
7/23/2014,83,60,0,0,0
7/24/2014,81,57,0,0,0
7/25/2014,80,60,0.31,0,0
7/26/2014,80,64,T,0,0
7/27/2014,82,61,0.12,0,0
7/28/2014,74,57,0.03,0,0
7/29/2014,73,51,0,0,0
7/30/2014,77,52,0,0,0
7/31/2014,79,54,0,0,0
8/1/2014,80,55,0,0,0
8/2/2014,82,56,0,0,0
8/3/2014,83,60,0,0,0
8/4/2014,86,63,0,0,0
8/5/2014,83,63,0.35,0,0
8/6/2014,78,62,0,0,0
8/7/2014,79,60,0,0,0
8/8/2014,80,61,0.05,0,0
8/9/2014,81,63,0,0,0
8/10/2014,81,63,0,0,0
8/11/2014,82,64,0.01,0,0
8/12/2014,76,53,0,0,0
8/13/2014,76,53,0,0,0
8/14/2014,82,54,0,0,0
8/15/2014,80,60,0.02,0,0
8/16/2014,80,62,0,0,0
8/17/2014,81,63,0,0,0
8/18/2014,85,65,0.03,0,0
